Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
2024-11-04 13:00:00,2024-11-04 14:41:00,NIFTY07NOV2424000CE,144.0,187.20000000000002,-25,Closed,-1080.0000000000005,stoploss hit
2024-11-04 13:00:00,2024-11-04 15:00:00,NIFTY07NOV2423800PE,189.0,125.4,-25,Closed,1589.9999999999998,Exit @ 3pm
2024-11-05 13:00:00,2024-11-05 13:29:00,NIFTY07NOV2424000CE,151.9,197.47000000000003,-25,Closed,-1139.2500000000005,stoploss hit
2024-11-05 13:00:00,2024-11-05 15:00:00,NIFTY07NOV2423800PE,127.1,49.8,-25,Closed,1932.5,Exit @ 3pm
2024-11-06 13:00:00,2024-11-06 14:18:00,NIFTY07NOV2424500CE,63.75,82.875,-25,Closed,-478.125,stoploss hit
2024-11-06 13:00:00,2024-11-06 15:00:00,NIFTY07NOV2424300PE,40.7,24.2,-25,Closed,412.5000000000001,Exit @ 3pm
2024-11-07 13:00:00,2024-11-07 13:08:00,NIFTY07NOV2424300CE,4.45,4.45,-25,Closed,0.0,stoploss hit
2024-11-07 13:00:00,2024-11-07 13:06:00,NIFTY07NOV2424100PE,1.55,2.015,-25,Closed,-11.625000000000002,stoploss hit
2024-11-08 13:00:00,2024-11-08 15:00:00,NIFTY14NOV2424200CE,129.8,129.5,-25,Closed,7.500000000000284,Exit @ 3pm
2024-11-08 13:00:00,2024-11-08 15:00:00,NIFTY14NOV2424000PE,91.8,79.15,-25,Closed,316.2499999999998,Exit @ 3pm
2024-11-11 13:00:00,2024-11-11 15:00:00,NIFTY14NOV2424300CE,87.0,57.25,-25,Closed,743.75,Exit @ 3pm
2024-11-11 13:00:00,2024-11-11 13:42:00,NIFTY14NOV2424100PE,70.3,91.39,-25,Closed,-527.2500000000001,stoploss hit
2024-11-12 13:00:00,2024-11-12 15:00:00,NIFTY14NOV2424100CE,77.45,43.8,-25,Closed,841.2500000000001,Exit @ 3pm
2024-11-12 13:00:00,2024-11-12 13:17:00,NIFTY14NOV2423900PE,69.55,90.415,-25,Closed,-521.6250000000002,stoploss hit
2024-11-13 13:00:00,2024-11-13 13:45:00,NIFTY14NOV2423800CE,39.85,51.80500000000001,-25,Closed,-298.8750000000001,stoploss hit
2024-11-13 13:00:00,2024-11-13 14:17:00,NIFTY14NOV2423600PE,72.2,72.2,-25,Closed,0.0,stoploss hit
2024-11-14 13:00:00,2024-11-14 13:10:00,NIFTY14NOV2423600CE,5.6,7.279999999999999,-25,Closed,-41.99999999999999,stoploss hit
2024-11-14 13:00:00,2024-11-14 13:40:00,NIFTY14NOV2423400PE,2.6,2.6,-25,Closed,0.0,stoploss hit
2024-11-18 13:00:00,2024-11-18 15:00:00,NIFTY21NOV2423600CE,79.15,56.5,-25,Closed,566.2500000000001,Exit @ 3pm
2024-11-18 13:00:00,2024-11-18 14:29:00,NIFTY21NOV2423400PE,84.0,109.2,-25,Closed,-630.0000000000001,stoploss hit
2024-11-19 13:00:00,2024-11-19 15:00:00,NIFTY21NOV2423900CE,30.9,9.5,-25,Closed,535.0,Exit @ 3pm
2024-11-19 13:00:00,2024-11-19 14:08:00,NIFTY21NOV2423700PE,65.95,85.73500000000001,-25,Closed,-494.6250000000003,stoploss hit
2024-11-21 13:00:00,2024-11-21 13:07:00,NIFTY21NOV2423400CE,3.65,4.745,-25,Closed,-27.375000000000004,stoploss hit
2024-11-21 13:00:00,2024-11-21 15:00:00,NIFTY21NOV2423200PE,4.65,0.5,-25,Closed,103.75000000000001,Exit @ 3pm
2024-11-22 13:00:00,2024-11-22 13:59:00,NIFTY28NOV2423800CE,164.8,214.24,-25,Closed,-1236.0,stoploss hit
2024-11-22 13:00:00,2024-11-22 15:00:00,NIFTY28NOV2423600PE,157.0,103.05,-25,Closed,1348.75,Exit @ 3pm
2024-11-25 13:00:00,2024-11-25 14:38:00,NIFTY28NOV2424300CE,89.7,116.61000000000001,-25,Closed,-672.7500000000002,stoploss hit
2024-11-25 13:00:00,2024-11-25 15:00:00,NIFTY28NOV2424100PE,131.3,83.15,-25,Closed,1203.7500000000002,Exit @ 3pm
2024-11-26 13:00:00,2024-11-26 14:39:00,NIFTY28NOV2424300CE,66.1,85.92999999999999,-25,Closed,-495.74999999999994,stoploss hit
2024-11-26 13:00:00,2024-11-26 15:00:00,NIFTY28NOV2424100PE,81.25,54.55,-25,Closed,667.5000000000001,Exit @ 3pm
2024-11-27 13:00:00,2024-11-27 13:51:00,NIFTY28NOV2424400CE,55.4,72.02,-25,Closed,-415.49999999999994,stoploss hit
2024-11-27 13:00:00,2024-11-27 13:57:00,NIFTY28NOV2424200PE,33.65,33.65,-25,Closed,0.0,stoploss hit
2024-11-28 13:00:00,2024-11-28 13:56:00,NIFTY28NOV2424100CE,29.55,38.415,-25,Closed,-221.62499999999997,stoploss hit
2024-11-28 13:00:00,2024-11-28 14:12:00,NIFTY28NOV2423900PE,29.45,29.45,-25,Closed,0.0,stoploss hit
2024-11-29 13:00:00,2024-11-29 15:00:00,NIFTY05DEC2424200CE,146.15,157.95,-25,Closed,-294.99999999999955,Exit @ 3pm
2024-11-29 13:00:00,2024-11-29 15:00:00,NIFTY05DEC2424000PE,109.0,83.55,-25,Closed,636.2500000000001,Exit @ 3pm
2024-12-02 13:00:00,2024-12-02 14:01:00,NIFTY05DEC2424300CE,125.25,162.82500000000002,-25,Closed,-939.3750000000005,stoploss hit
2024-12-02 13:00:00,2024-12-02 15:00:00,NIFTY05DEC2424100PE,115.55,78.45,-25,Closed,927.4999999999999,Exit @ 3pm
2024-12-03 13:00:00,2024-12-03 15:00:00,NIFTY05DEC2424500CE,100.55,107.3,-25,Closed,-168.75,Exit @ 3pm
2024-12-03 13:00:00,2024-12-03 15:00:00,NIFTY05DEC2424300PE,84.75,75.8,-25,Closed,223.75000000000006,Exit @ 3pm
2024-12-04 13:00:00,2024-12-04 13:32:00,NIFTY05DEC2424600CE,56.65,73.645,-25,Closed,-424.87499999999994,stoploss hit
2024-12-04 13:00:00,2024-12-04 14:20:00,NIFTY05DEC2424400PE,97.85,97.85,-25,Closed,0.0,stoploss hit
2024-12-05 13:00:00,2024-12-05 13:13:00,NIFTY05DEC2424700CE,69.05,89.765,-25,Closed,-517.8750000000001,stoploss hit
